分類代碼,商品名稱,商品描述,主商品貨號,商品規格識別碼,規格名稱1,規格選項1,規格圖片,規格名稱2,規格選項2,價格,庫存,商品選項貨號,主商品圖片,重量,長度,寬度,高度,7-11取貨付款,全家取貨付款,黑貓宅配,郵局,較長備貨天數
13691,iPhone 15 Pro Max 軍規防摔殼 透明霧面 質感升級,"超薄1.5mm 軍規認證防摔殼，採用德國拜耳PC材質與TPU軟邊雙料結構。霧面磨砂處理不留指紋，按鍵段落感清晰。鏡頭處加高1.2mm有效防止刮傷，無線充電完全相容。台灣現貨24小時出貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-CLR-001,,,,,,,390,120,CASE-IP15PM-CLR-001,https://cdn.example.com/img/case-clear-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
13691,iPhone 15 Pro Max 馬卡龍液態矽膠殼 5色任選,"親膚液態矽膠材質，內襯超細纖維保護機身不留刮痕。獨家馬卡龍配色，邊框包覆鏡頭與螢幕降高設計。支援MagSafe無線充電。台灣現貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-MAC-V1,201,顏色,薰衣草紫,https://cdn.example.com/img/case-purple.jpg,,,490,80,CASE-IP15PM-MAC-PUR,https://cdn.example.com/img/case-cover-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
13691,iPhone 15 Pro Max 馬卡龍液態矽膠殼 5色任選,"親膚液態矽膠材質，內襯超細纖維保護機身不留刮痕。獨家馬卡龍配色，邊框包覆鏡頭與螢幕降高設計。支援MagSafe無線充電。台灣現貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-MAC-V1,201,顏色,鼠尾草綠,https://cdn.example.com/img/case-green.jpg,,,490,80,CASE-IP15PM-MAC-GRN,https://cdn.example.com/img/case-cover-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
13691,iPhone 15 Pro Max 馬卡龍液態矽膠殼 5色任選,"親膚液態矽膠材質，內襯超細纖維保護機身不留刮痕。獨家馬卡龍配色，邊框包覆鏡頭與螢幕降高設計。支援MagSafe無線充電。台灣現貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-MAC-V1,201,顏色,奶茶杏,https://cdn.example.com/img/case-beige.jpg,,,490,80,CASE-IP15PM-MAC-BEI,https://cdn.example.com/img/case-cover-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
13691,iPhone 15 Pro Max 馬卡龍液態矽膠殼 5色任選,"親膚液態矽膠材質，內襯超細纖維保護機身不留刮痕。獨家馬卡龍配色，邊框包覆鏡頭與螢幕降高設計。支援MagSafe無線充電。台灣現貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-MAC-V1,201,顏色,珊瑚粉,https://cdn.example.com/img/case-pink.jpg,,,490,80,CASE-IP15PM-MAC-PNK,https://cdn.example.com/img/case-cover-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
13691,iPhone 15 Pro Max 馬卡龍液態矽膠殼 5色任選,"親膚液態矽膠材質，內襯超細纖維保護機身不留刮痕。獨家馬卡龍配色，邊框包覆鏡頭與螢幕降高設計。支援MagSafe無線充電。台灣現貨。\n\n商品內容物：1x 手機殼",CASE-IP15PM-MAC-V1,201,顏色,午夜黑,https://cdn.example.com/img/case-black.jpg,,,490,80,CASE-IP15PM-MAC-BLK,https://cdn.example.com/img/case-cover-001.jpg,0.05,16,8,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,白色,https://cdn.example.com/img/tee-white.jpg,尺寸,S,390,40,TEE-BASIC-WHT-S,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,白色,https://cdn.example.com/img/tee-white.jpg,尺寸,M,390,50,TEE-BASIC-WHT-M,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,白色,https://cdn.example.com/img/tee-white.jpg,尺寸,L,390,50,TEE-BASIC-WHT-L,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,白色,https://cdn.example.com/img/tee-white.jpg,尺寸,XL,390,40,TEE-BASIC-WHT-XL,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,黑色,https://cdn.example.com/img/tee-black.jpg,尺寸,S,390,40,TEE-BASIC-BLK-S,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,黑色,https://cdn.example.com/img/tee-black.jpg,尺寸,M,390,50,TEE-BASIC-BLK-M,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,黑色,https://cdn.example.com/img/tee-black.jpg,尺寸,L,390,50,TEE-BASIC-BLK-L,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,黑色,https://cdn.example.com/img/tee-black.jpg,尺寸,XL,390,40,TEE-BASIC-BLK-XL,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,軍綠,https://cdn.example.com/img/tee-green.jpg,尺寸,S,390,30,TEE-BASIC-GRN-S,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,軍綠,https://cdn.example.com/img/tee-green.jpg,尺寸,M,390,40,TEE-BASIC-GRN-M,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,軍綠,https://cdn.example.com/img/tee-green.jpg,尺寸,L,390,40,TEE-BASIC-GRN-L,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
5940,純棉舒適短T 男女款 4季百搭 台灣現貨,"100%精梳棉 230g/m² 厚實不透。台灣製造無印風基本款，圓領落肩剪裁修飾肩線。下水不縮水不變形，色牢度高。男女皆可穿搭。\n\n商品內容物：1x 短T",TEE-BASIC-CT-001,301,顏色,軍綠,https://cdn.example.com/img/tee-green.jpg,尺寸,XL,390,30,TEE-BASIC-GRN-XL,https://cdn.example.com/img/tee-cover.jpg,0.20,30,25,2,開啟,開啟,開啟,開啟,
